fuente_institucional,anio,titulo,id,url
PUC,2022,Ensamblajes ontológicos en los ecosistemas digitales del capitalismo informacional: aproximaciones al cripto-cuerpo desde la narrativa argentina reciente,PUC_ce9dd2a8a96130aeacd04155c1b73fb5,https://espaciociencia.anid.cl/detalles?id=PUC_ce9dd2a8a96130aeacd04155c1b73fb5
UCHILE,2022,Estrategias constructivistas para la enseñanza de las ciencias: las ideas previas de los escolares sobre el concepto de Ecosistema,UCHILE_323be97e802de9db111f6088756c3aff,https://espaciociencia.anid.cl/detalles?id=UCHILE_323be97e802de9db111f6088756c3aff
REPO,2022,Parapatry of Phanaeus splendidulus and P. dejeani (Coleoptera: Scarabaeidae: Scarabaeinae) in two mountain ranges in the Atlantic Forest,Repo_ANID_18d76ca4ea19663f52034c8ec8a81719,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_18d76ca4ea19663f52034c8ec8a81719
UMAG,2021,"Abundancia y densidad relativa de delfines (Mammalia: Delphinidae) entre 18° y 25°S en el Sistema de la Corriente de Humboldt, norte de Chile",UMAG_adf903f70a7999d4ea1133b130e97c41,https://espaciociencia.anid.cl/detalles?id=UMAG_adf903f70a7999d4ea1133b130e97c41
UDEC,2021,Agotamiento de las aguas subterráneas y su relación con la agricultura y los ecosistemas dependientes en cuencas del Centro-Norte de Chile.,UDEC_1b1c8ea999910d1c26e4a9f9bb40cddb,https://espaciociencia.anid.cl/detalles?id=UDEC_1b1c8ea999910d1c26e4a9f9bb40cddb
UCHILE,2021,Análisis del conflicto a nivel operacional entre la hidroelectricidad y la conservación del ecosistema fluvial en la Cuenca del río BíoBío,UCHILE_63754874e59644dd56005e38d4ea2319,https://espaciociencia.anid.cl/detalles?id=UCHILE_63754874e59644dd56005e38d4ea2319
UCSC,2021,Desarrollo de la actitud emprendedora: Estudio cualitativo de un modelo de formación universitaria,UCSC_b8750f57da2a82eb053e5e590bd5c2fe,https://espaciociencia.anid.cl/detalles?id=UCSC_b8750f57da2a82eb053e5e590bd5c2fe
SCIELO,2021,Enraizamiento de estacas de Pinus hartwegii de tres poblaciones naturales en ecosistemas de alta montaña del Estado de México y Veracruz,SCIELO_92d0eed5d446797fde1d878e0e61776e,https://espaciociencia.anid.cl/detalles?id=SCIELO_92d0eed5d446797fde1d878e0e61776e
UCHILE,2021,"Estación de Turismo Científico ""ConCiencia del Mar"" : Puerto Cisnes, Región de Aysén",UCHILE_7849a9cc88f7e0c90c06efbb7429ab4c,https://espaciociencia.anid.cl/detalles?id=UCHILE_7849a9cc88f7e0c90c06efbb7429ab4c
REPO,2021,"Gradientes Climáticos y su alta influencia en los ecosistemas terrestres de la Reserva de la Biosfera Cabo de Hornos, Chile",Repo_ANID_b7aabe024018d836292bb4876bfc8d24,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_b7aabe024018d836292bb4876bfc8d24
UMAG,2021,"Gradientes Climáticos y su alta influencia en los ecosistemas terrestres de la Reserva de la Biosfera Cabo de Hornos, Chile",UMAG_4f7b13d7d9ab184a54c8188d2cc47363,https://espaciociencia.anid.cl/detalles?id=UMAG_4f7b13d7d9ab184a54c8188d2cc47363
